2014-based projected population by sex and single year of age 150 per cent future EU migration variant Scotland 2014-2039																										
													2014-based projected population by sex and single year of age 150 per cent future EU migration variant Scotland 2014-2039 (continued)													
	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
																										
PERSONS													PERSONS													
31	68791	67965	70288	70717	71394	73674	73139	74407	78295	78704	74461	74784	74119	72942	72502	70679	69794	67832	66601	64478	64819	66564	67756	68291	69512	72071
32	69734	68971	68035	70360	70796	71557	73838	73311	74578	78464	78875	74633	74957	74293	73116	72678	70855	69973	68011	66784	64660	65001	66747	67938	68472	69697
33	69279	69903	69043	68112	70442	70951	71716	74001	73476	74742	78626	79039	74802	75122	74461	73285	72846	71024	70143	68183	66957	64833	65174	66918	68110	68647
34	67955	69440	69978	69123	68200	70591	71104	71876	74160	73635	74902	78784	79199	74966	75282	74621	73447	73007	71186	70306	68346	67120	64999	65339	67083	68276
35	65523	68102	69512	70058	69209	68339	70731	71252	72024	74308	73785	75050	78930	79352	75121	75431	74771	73598	73157	71339	70457	68498	67272	65152	65491	67234
36	61183	65657	68172	69587	70138	69337	68473	70868	71391	72162	74445	73924	75189	79069	79493	75266	75573	74913	73740	73299	71481	70599	68641	67414	65296	65633
37	60046	61289	65703	68221	69643	70236	69441	68580	70973	71498	72269	74548	74034	75296	79176	79605	75380	75684	75025	73852	73409	71593	70713	68755	67527	65410
38	63747	60118	61309	65723	68246	69707	70301	69514	68650	71042	71569	72338	74618	74109	75369	79247	79678	75456	75759	75100	73928	73486	71672	70792	68834	67608
39	64388	63770	60105	61294	65709	68266	69727	70328	69540	68678	71068	71596	72367	74646	74136	75396	79273	79706	75489	75790	75131	73962	73521	71708	70829	68873
40	65328	64401	63741	60083	61274	65715	68275	69739	70342	69555	68694	71081	71611	72383	74659	74153	75411	79285	79724	75509	75810	75153	73984	73545	71734	70854
41	69348	65351	64389	63731	60080	61292	65733	68298	69763	70367	69583	68723	71110	71639	72413	74686	74184	75440	79314	79756	75549	75847	75190	74024	73583	71776
42	73800	69344	65323	64361	63706	60080	61291	65732	68299	69764	70371	69589	68731	71115	71646	72422	74694	74194	75451	79324	79770	75568	75862	75205	74042	73600
43	76644	73768	69293	65277	64317	63681	60062	61271	65708	68280	69743	70354	69574	68718	71100	71631	72410	74680	74184	75440	79313	79765	75564	75856	75202	74041
44	75798	76604	73714	69247	65235	64290	63660	60046	61253	65689	68262	69726	70339	69562	68708	71087	71622	72400	74672	74181	75435	79306	79763	75566	75856	75204
45	78704	75735	76523	73642	69184	65189	64248	63620	60012	61218	65650	68225	69690	70306	69531	68680	71058	71594	72374	74645	74157	75414	79283	79743	75550	75838
46	80275	78621	75644	76435	73562	69122	65136	64199	63571	59971	61174	65603	68181	69645	70263	69493	68643	71020	71560	72339	74611	74127	75383	79251	79715	75525
47	80894	80167	78511	75543	76333	73479	69049	65071	64136	63509	59916	61118	65543	68122	69588	70209	69443	68595	70970	71512	72293	74564	74084	75338	79205	79673
48	80402	80763	80035	78388	75426	76229	73383	68964	64993	64059	63436	59850	61049	65471	68054	69519	70143	69380	68535	70907	71451	72233	74505	74027	75282	79146
49	83320	80269	80626	79904	78266	75324	76132	73294	68884	64921	63990	63370	59789	60987	65404	67990	69454	70083	69322	68481	70851	71396	72179	74451	73976	75231
50	82301	83174	80135	80495	79780	78160	75229	76038	73211	68808	64855	63925	63307	59735	60930	65342	67931	69398	70029	69271	68434	70802	71351	72133	74405	73934
51	82094	82150	83028	80003	80367	79670	78058	75138	75946	73130	68736	64792	63862	63247	59683	60874	65282	67876	69346	69979	69226	68391	70756	71309	72091	74363
52	80198	81916	81983	82868	79860	80235	79547	77944	75033	75843	73038	68654	64717	63789	63178	59623	60812	65216	67810	69284	69920	69170	68339	70699	71257	72040
53	78284	79976	81702	81781	82671	79687	80064	79386	77793	74893	75705	72912	68539	64610	63685	63080	59533	60721	65119	67715	69191	69830	69085	68254	70611	71172
54	75709	78018	79724	81454	81542	82443	79478	79861	79190	77609	74721	75534	72752	68394	64476	63554	62954	59418	60604	64995	67591	69070	69711	68971	68143	70496
55	75231	75415	77734	79446	81181	81285	82190	79247	79633	78971	77401	74525	75340	72571	68230	64324	63407	62811	59289	60470	64854	67449	68927	69572	68835	68014
56	73040	74910	75118	77436	79153	80899	81012	81923	79000	79389	78737	77179	74316	75131	72378	68055	64161	63248	62655	59147	60328	64701	67295	68773	69420	68689
57	71239	72701	74588	74807	77125	78854	80602	80726	81641	78739	79131	78489	76944	74094	74909	72172	67867	63986	63077	62491	58996	60175	64539	67131	68609	69259
58	68986	70858	72344	74233	74460	76787	78519	80271	80403	81322	78442	78838	78207	76676	73841	74658	71936	67650	63786	62882	62302	58821	59997	64351	66941	68419
59	66112	68560	70457	71945	73837	74077	76406	78140	79895	80036	80958	78102	78502	77884	76364	73550	74366	71662	67398	63551	62653	62078	58614	59788	64130	66717
60	65213	65674	68140	70039	71532	73430	73682	76009	77746	79500	79655	80579	77748	78151	77543	76038	73246	74062	71374	67134	63305	62412	61842	58397	59567	63896
61	64041	64738	65239	67699	69599	71103	73003	73266	75588	77325	79083	79248	80175	77370	77777	77180	75690	72919	73736	71066	66849	63040	62155	61589	58162	59329
62	61738	63517	64251	64765	67218	69124	70631	72533	72806	75122	76861	78618	78795	79725	76947	77358	76774	75300	72548	73366	70717	66528	62741	61860	61301	57894
63	62323	61173	62982	63729	64254	66703	68610	70122	72022	72305	74616	76355	78111	78301	79235	76483	76899	76327	74871	72140	72959	70331	66172	62409	61536	60982
64	62486	61689	60601	62411	63167	63706	66148	68055	69570	71468	71760	74066	75803	77559	77759	78696	75976	76393	75835	74397	71688	72510	69907	65778	62041	61175
65	64029	61779	61050	59991	61798	62568	63116	65552	67456	68973	70867	71169	73466	75204	76958	77171	78109	75420	75841	75297	73877	71195	72016	69440	65342	61636
66	65871	63215	61053	60354	59325	61129	61908	62470	64895	66796	68313	70204	70515	72805	74538	76291	76515	77454	74800	75224	74695	73294	70640	71462	68912	64854
67	71190	64926	62381	60267	59598	58601	60401	61188	61761	64173	66070	67587	69471	69792	72072	73800	75551	75784	76725	74107	74537	74023	72643	70020	70841	68320
68	53809	70052	63977	61492	59430	58793	57828	59620	60415	61002	63398	65289	66800	68673	69003	71273	72994	74741	74983	75927	73347	73783	73285	71928	69339	70160
69	50624	52849	68911	62964	60541	58534	57928	56996	58781	59584	60182	62561	64438	65938	67803	68142	70398	72111	73853	74106	75050	72512	72954	72474	71140	68590
70	51457	49621	51888	67692	61878	59521	57572	56999	56103	57879	58688	59296	61650	63507	65002	66857	67206	69449	71152	72886	73150	74095	71603	72049	71587	70279
71	49324	50326	48620	50863	66392	60719	58430	56541	56003	55144	56909	57725	58337	60667	62511	63999	65843	66201	68428	70121	71846	72121	73066	70621	71072	70630
72	45065	48123	49194	47552	49770	65004	59478	57264	55437	54932	54110	55865	56686	57306	59613	61444	62925	64756	65122	67330	69011	70724	71012	71955	69559	70016
73	41614	43865	46943	48012	46436	48624	63545	58177	56038	54271	53802	53018	54759	55585	56215	58497	60310	61783	63600	63975	66162	67828	69530	69829	70769	68431
74	42171	40412	42697	45721	46785	45277	47434	62027	56820	54755	53055	52621	51877	53603	54432	55068	57324	59119	60581	62383	62767	64932	66581	68272	68582	69518
75	40960	40823	39225	41466	44429	45487	44050	46171	60414	55371	53386	51753	51356	50652	52360	53192	53835	56063	57837	59288	61071	61464	63602	65235	66909	67231
76	39528	39522	39505	37985	40180	43076	44126	42762	44845	58714	53844	51943	50378	50019	49356	51045	51877	52526	54722	56472	57911	59671	60072	62180	63795	65452
77	37184	38004	38124	38137	36696	38841	41669	42710	41419	43462	56938	52248	50430	48937	48615	47994	49661	50491	51146	53304	55031	56457	58193	58600	60675	62271
78	35471	35600	36514	36661	36705	35344	37435	40189	41215	39999	42000	55057	50555	48824	47406	47122	46544	48184	49012	49670	51788	53487	54896	56604	57018	59057
79	33262	33782	34046	34948	35122	35196	33919	35952	38622	39635	38496	40447	53062	48752	47113	45770	45527	44990	46602	47425	48086	50160	51827	53216	54893	55313
80	30577	31491	32134	32423	33313	33512	33616	32423	34392	36974	37970	36909	38806	50950	46843	45297	44034	43829	43336	44915	45734	46394	48418	50051	51414	53058
81	28216	28767	29782	30433	30745	31618	31840	31971	30864	32764	35255	36230	35248	37087	48733	44839	43389	42209	42041	41593	43134	43944	44603	46574	48167	49505
82	27169	26350	27022	28017	28670	29005	29859	30101	30257	29239	31065	33457	34409	33507	35282	46404	42730	41380	40282	40152	39750	41249	42048	42704	44616	46166
83	24595	25162	24563	25230	26200	26852	27205	28039	28298	28479	27548	29294	31581	32505	31687	33393	43961	40517	39268	38254	38160	37803	39257	40042	40692	42539
84	21898	22561	23253	22737	23396	24337	24985	25352	26161	26437	26639	25796	27460	29633	30528	29790	31423	41408	38200	37054	36126	36068	35757	37158	37928	38571
85	19411	19880	20647	21322	20887	21535	22444	23084	23462	24243	24531	24752	23998	25574	27628	28491	27832	29387	38762	35797	34754	33913	33889	33624	34969	35719
86	16640	17417	18001	18732	19387	19031	19663	20534	21163	21548	22297	22595	22832	22165	23647	25576	26404	25824	27295	36040	33321	32382	31629	31634	31414	32696
87	14852	14735	15577	16135	16827	17456	17173	17788	18616	19227	19615	20329	20634	20881	20301	21684	23484	24271	23769	25151	33247	30775	29938	29272	29305	29129
88	13103	12964	13005	13775	14303	14951	15552	15338	15928	16710	17298	17684	18361	18668	18922	18424	19707	21372	22115	21687	22975	30409	28183	27448	26866	26925
89	10827	11266	11280	11340	12038	12534	13137	13705	13555	14116	14848	15408	15786	16422	16728	16984	16565	17745	19269	19967	19609	20801	27568	25585	24949	24446
90+	39542	39917	41303	42488	43557	45095	46876	48980	51346	53320	55582	58257	61142	64054	67207	70273	73213	75429	78430	82433	86584	89913	93897	103469	110149	115413
																										
2014-based projected population by sex and single year of age 150 per cent future EU migration variant Scotland 2014-2039 (continued)													2014-based projected population by sex and single year of age 150 per cent future EU migration variant Scotland 2014-2039 (continued)													
	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
																										
MALES													MALES													
All ages	2596384	2606380	2615525	2624553	2633805	2643332	2653068	2662988	2672895	2682750	2692547	2702201	2711656	2720842	2729716	2738210	2746294	2753934	2761128	2767866	2774176	2780046	2785524	2790640	2795433	2799938
0	28913	28602	28474	28315	28496	28792	29065	29306	29511	29676	29807	29917	29978	29993	29981	29938	29872	29808	29751	29712	29672	29630	29611	29629	29673	29733
1	29337	29099	28754	28626	28469	28683	28981	29256	29498	29703	29869	30001	30111	30173	30187	30175	30132	30067	30002	29946	29907	29867	29824	29804	29823	29867
2	30424	29483	29208	28863	28737	28608	28824	29126	29402	29644	29850	30016	30148	30258	30320	30332	30320	30277	30213	30148	30092	30054	30013	29970	29950	29969
3	31184	30531	29556	29282	28938	28836	28709	28927	29231	29506	29749	29955	30121	30253	30363	30426	30438	30425	30382	30318	30253	30196	30158	30116	30074	30053
4	29656	31269	30586	29614	29340	29019	28916	28793	29011	29314	29589	29834	30039	30207	30339	30449	30511	30523	30511	30467	30403	30338	30281	30243	30201	30159
5	30352	29735	31321	30640	29670	29416	29095	28993	28871	29088	29391	29666	29911	30117	30285	30417	30527	30589	30601	30589	30545	30481	30416	30359	30320	30278
6	30378	30425	29784	31371	30692	29740	29486	29165	29063	28940	29158	29460	29736	29981	30187	30356	30488	30597	30659	30672	30660	30616	30553	30486	30429	30390
7	29262	30442	30471	29831	31417	30756	29802	29550	29228	29126	29003	29221	29523	29799	30044	30251	30420	30552	30661	30723	30736	30724	30680	30617	30550	30492
8	28610	29314	30478	30509	29868	31468	30808	29855	29601	29280	29176	29054	29273	29573	29851	30096	30303	30471	30605	30714	30776	30789	30777	30732	30669	30602
9	28635	28657	29345	30511	30543	29914	31514	30856	29902	29648	29326	29222	29100	29319	29619	29898	30144	30350	30518	30652	30761	30823	30837	30825	30780	30716
10	28184	28687	28694	29383	30551	30596	29966	31567	30909	29954	29701	29378	29275	29153	29372	29672	29951	30197	30403	30571	30707	30815	30877	30890	30880	30834
11	27029	28239	28726	28734	29425	30605	30653	30023	31625	30966	30011	29757	29434	29332	29208	29429	29729	30008	30253	30459	30627	30763	30871	30933	30947	30938
12	26889	27070	28264	28753	28762	29464	30645	30696	30065	31668	31010	30053	29798	29476	29374	29250	29471	29771	30050	30295	30501	30669	30806	30913	30975	30989
13	27929	26934	27099	28293	28783	28804	29506	30689	30739	30108	31713	31056	30097	29842	29521	29418	29294	29517	29815	30095	30340	30546	30714	30851	30959	31020
14	29027	27987	26975	27142	28336	28840	28862	29564	30748	30798	30167	31772	31115	30156	29902	29580	29477	29353	29576	29875	30156	30401	30607	30774	30912	31020
15	30060	29083	28025	27015	27182	28391	28896	28919	29620	30804	30854	30223	31829	31172	30215	29960	29638	29534	29410	29634	29933	30214	30459	30665	30832	30970
16	30657	30124	29128	28072	27063	27246	28456	28961	28984	29686	30869	30920	30290	31894	31239	30282	30026	29704	29600	29476	29700	29999	30280	30527	30732	30899
17	31830	30769	30212	29217	28162	27173	27357	28567	29073	29096	29799	30982	31036	30406	32010	31356	30398	30141	29820	29715	29591	29816	30115	30396	30643	30849
18	32612	32192	31085	30522	29528	28513	27521	27703	28913	29425	29451	30154	31342	31401	30772	32376	31727	30765	30505	30182	30075	29952	30176	30476	30759	31007
19	33734	33377	32874	31761	31193	30275	29252	28251	28427	29642	30165	30197	30903	32101	32169	31538	33144	32503	31533	31265	30940	30830	30706	30930	31231	31516
20	35028	34624	34158	33652	32538	32068	31147	30115	29103	29275	30499	31030	31066	31778	32988	33062	32427	34040	33400	32421	32147	31820	31708	31583	31807	32110
21	35258	35773	35249	34786	34283	33278	32809	31887	30847	29831	30002	31231	31766	31804	32520	33736	33814	33177	34794	34156	33172	32895	32567	32453	32328	32552
22	37784	35923	36300	35782	35325	34948	33947	33481	32558	31515	30497	30667	31899	32437	32475	33192	34412	34492	33855	35474	34837	33851	33573	33243	33129	33004
23	38453	38321	36306	36692	36180	35865	35496	34501	34038	33115	32075	31058	31231	32463	33000	33036	33755	34975	35054	34416	36038	35398	34411	34137	33806	33692
24	36695	38728	38440	36438	36837	36452	36147	35788	34798	34340	33420	32386	31376	31551	32779	33313	33348	34065	35280	35356	34719	36339	35696	34714	34443	34115
25	36179	36849	38737	38455	36469	36976	36601	36304	35949	34964	34510	33594	32567	31561	31738	32961	33492	33526	34240	35451	35526	34891	36505	35863	34885	34617
26	36253	36333	36878	38765	38490	36605	37123	36755	36461	36108	35126	34675	33762	32739	31737	31916	33136	33665	33697	34411	35619	35692	35059	36670	36028	35051
27	34898	36406	36372	36919	38812	38623	36749	37274	36908	36616	36263	35285	34837	33927	32906	31908	32085	33306	33832	33864	34576	35782	35856	35224	36832	36189
28	34875	35035	36441	36410	36965	38931	38746	36882	37409	37043	36753	36400	35424	34980	34071	33052	32057	32236	33454	33979	34011	34723	35928	36000	35370	36975
29	34277	34973	35045	36453	36428	37049	39016	38837	36977	37504	37140	36851	36498	35525	35082	34176	33159	32166	32345	33562	34087	34118	34830	36034	36106	35475
30	33152	34377	34992	35066	36479	36514	37139	39109	38929	37074	37601	37239	36950	36598	35628	35185	34282	33267	32274	32454	33671	34194	34227	34938	36140	36212
31	33589	33248	34400	35018	35098	36563	36602	37231	39198	39018	37167	37693	37332	37044	36694	35725	35284	34381	33368	32377	32558	33772	34295	34330	35040	36241
32	33800	33650	33249	34402	35023	35149	36614	36657	37286	39250	39072	37222	37749	37389	37102	36753	35786	35346	34444	33434	32444	32625	33839	34361	34395	35107
33	33945	33871	33667	33270	34425	35086	35216	36681	36726	37354	39316	39140	37294	37818	37461	37175	36826	35860	35421	34521	33512	32522	32703	33916	34438	34474
34	33300	34016	33894	33693	33299	34489	35152	35287	36750	36796	37425	39384	39209	37366	37888	37532	37247	36899	35933	35495	34596	33587	32599	32780	33993	34515
35	32397	33347	34022	33904	33706	33341	34532	35199	35334	36796	36844	37471	39428	39257	37415	37935	37579	37295	36947	35984	35545	34648	33640	32652	32834	34046
36	29842	32443	33358	34034	33919	33748	33387	34579	35247	35382	36842	36891	37519	39476	39305	37466	37985	37630	37346	36998	36036	35597	34702	33693	32707	32889
37	29753	29884	32451	33367	34047	33956	33788	33430	34619	35289	35423	36881	36934	37561	39517	39350	37512	38029	37676	37391	37043	36083	35644	34750	33740	32755
38	31344	29774	29878	32443	33362	34063	33973	33809	33450	34638	35309	35442	36901	36957	37583	39538	39372	37536	38051	37700	37415	37068	36109	35670	34777	33768
39	31368	31331	29742	29846	32410	33347	34047	33962	33798	33441	34627	35297	35432	36891	36946	37572	39526	39362	37528	38042	37693	37408	37062	36105	35666	34775
40	32149	31352	31292	29708	29814	32390	33328	34030	33947	33783	33427	34610	35282	35418	36874	36932	37557	39508	39348	37516	38030	37682	37398	37053	36098	35658
41	33967	32140	31325	31266	29686	29804	32378	33319	34022	33940	33777	33422	34604	35275	35413	36867	36927	37551	39502	39344	37517	38029	37682	37400	37054	36101
42	35725	33938	32100	31284	31227	29660	29779	32351	33293	33995	33916	33753	33400	34579	35251	35391	36844	36905	37530	39480	39325	37500	38010	37664	37383	37037
43	36863	35681	33885	32051	31237	31187	29625	29744	32312	33257	33958	33881	33719	33367	34545	35216	35358	36810	36874	37498	39447	39297	37472	37981	37637	37357
44	36585	36820	35632	33841	32010	31202	31155	29597	29715	32281	33227	33928	33854	33692	33341	34518	35190	35334	36785	36852	37476	39424	39277	37454	37963	37619
45	37998	36525	36753	35570	33784	31961	31155	31110	29556	29674	32235	33183	33884	33812	33651	33303	34479	35151	35297	36746	36815	37441	39388	39243	37423	37930
46	38731	37922	36446	36677	35498	33721	31904	31102	31056	29506	29623	32181	33131	33832	33761	33602	33255	34430	35105	35250	36699	36770	37397	39342	39200	37381
47	39506	38646	37838	36368	36599	35429	33657	31846	31045	30999	29454	29571	32126	33076	33779	33710	33552	33207	34380	35056	35202	36651	36724	37350	39295	39155
48	38983	39407	38550	37748	36281	36518	35352	33587	31780	30980	30936	29396	29512	32063	33016	33719	33652	33495	33152	34324	35000	35147	36597	36671	37296	39239
49	40584	38888	39312	38460	37662	36205	36445	35284	33524	31722	30925	30881	29344	29460	32008	32964	33666	33602	33446	33105	34276	34952	35101	36550	36626	37250
50	39732	40489	38803	39228	38381	37592	36142	36384	35228	33472	31676	30879	30837	29305	29420	31964	32923	33627	33564	33409	33070	34240	34918	35067	36516	36593
51	39875	39638	40398	38722	39147	38312	37527	36083	36326	35175	33425	31633	30837	30796	29268	29382	31924	32885	33591	33530	33377	33039	34207	34889	35037	36486
52	39351	39759	39530	40295	38628	39058	38230	37450	36012	36257	35111	33367	31579	30784	30745	29223	29337	31876	32837	33546	33486	33334	32999	34164	34848	34998
53	38243	39210	39627	39405	40173	38519	38951	38130	37355	35924	36172	35032	33293	31509	30717	30681	29164	29277	31813	32776	33485	33428	33278	32943	34107	34791
54	37187	38086	39063	39485	39269	40041	38400	38835	38019	37251	35827	36076	34943	33211	31433	30643	30610	29098	29211	31742	32707	33417	33362	33214	32881	34043
55	36592	37007	37916	38897	39323	39117	39891	38264	38700	37891	37129	35713	35964	34837	33114	31343	30557	30525	29020	29132	31658	32624	33333	33282	33135	32805
56	35552	36396	36827	37737	38721	39154	38956	39732	38117	38555	37754	36999	35591	35843	34724	33010	31246	30464	30432	28934	29047	31566	32534	33243	33194	33049
57	34895	35352	36208	36646	37558	38547	38984	38794	39572	37971	38409	37616	36869	35469	35721	34611	32905	31149	30370	30340	28849	28963	31475	32444	33153	33107
58	33754	34674	35149	36008	36450	37368	38360	38802	38618	39398	37811	38250	37466	36727	35335	35589	34486	32789	31043	30268	30240	28756	28869	31374	32345	33054
59	32194	33503	34440	34919	35781	36229	37150	38144	38590	38413	39194	37622	38063	37289	36556	35175	35430	34336	32651	30913	30143	30116	28641	28755	31252	32222
60	31896	31928	33250	34189	34674	35538	35992	36914	37909	38358	38191	38972	37415	37857	37093	36368	35000	35255	34170	32497	30769	30003	29977	28512	28626	31114
61	31236	31605	31665	32984	33924	34416	35282	35741	36663	37658	38112	37953	38734	37194	37637	36883	36166	34810	35067	33990	32330	30613	29853	29828	28372	28486
62	30105	30919	31313	31383	32698	33641	34137	35005	35469	36390	37386	37843	37692	38474	36950	37395	36651	35943	34599	34857	33791	32145	30440	29684	29662	28216
63	30290	29766	30602	31005	31084	32396	33341	33842	34710	35178	36099	37094	37555	37413	38196	36688	37135	36401	35703	34371	34630	33575	31943	30252	29502	29481
64	30600	29920	29435	30273	30683	30772	32080	33027	33532	34400	34872	35793	36787	37252	37118	37900	36413	36859	36135	35447	34128	34389	33347	31729	30052	29307
65	31190	30192	29558	29091	29929	30349	30446	31750	32696	33205	34074	34549	35468	36462	36931	36806	37587	36119	36565	35852	35175	33870	34132	33103	31500	29838
66	31986	30717	29773	29161	28713	29551	29977	30084	31382	32327	32839	33708	34186	35105	36095	36567	36452	37231	35784	36230	35529	34863	33573	33837	32820	31236
