2014-based projected population by sex and single year of age 150 per cent future EU migration variant Scotland 2014-2039																										
													2014-based projected population by sex and single year of age 150 per cent future EU migration variant Scotland 2014-2039 (continued)													
	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
																										
PERSONS													PERSONS													
67	34396	31435	30234	29317	28728	28299	29137	29569	29685	30975	31918	32434	33300	33782	34699	35685	36161	36053	36831	35405	35853	35164	34510	33237	33501	32499
68	26017	33733	30883	29718	28832	28265	27855	28691	29128	29255	30536	31476	31992	32853	33337	34252	35233	35711	35611	36387	34985	35434	34758	34117	32862	33128
69	24005	25456	33073	30299	29171	28316	27772	27381	28215	28657	28794	30064	30997	31511	32368	32853	33764	34739	35220	35128	35901	34524	34974	34313	33684	32451
70	24560	23431	24902	32376	29679	28589	27768	27248	26879	27709	28155	28301	29557	30478	30993	31846	32333	33240	34208	34690	34607	35377	34027	34477	33832	33217
71	22961	23912	22865	24317	31638	29023	27973	27186	26692	26344	27170	27620	27772	29013	29927	30442	31291	31779	32680	33641	34123	34050	34816	33494	33943	33315
72	20722	22287	23270	22266	23698	30857	28326	27319	26566	26097	25770	26593	27045	27205	28433	29340	29855	30698	31186	32080	33032	33514	33451	34211	32919	33368
73	18871	20053	21629	22602	21642	23051	30040	27596	26632	25912	25470	25164	25981	26435	26604	27816	28715	29230	30067	30554	31440	32382	32864	32810	33563	32305
74	19059	18214	19413	20958	21918	21004	22388	29200	26845	25922	25238	24822	24538	25348	25804	25980	27176	28065	28578	29409	29895	30772	31703	32185	32141	32886
75	18503	18325	17572	18745	20255	21201	20334	21691	28315	26048	25170	24521	24132	23870	24672	25129	25313	26491	27369	27880	28702	29187	30053	30972	31451	31417
76	17736	17724	17618	16910	18055	19526	20457	19637	20965	27390	25216	24385	23770	23409	23168	23962	24418	24609	25767	26632	27142	27952	28435	29288	30194	30671
77	16146	16924	16982	16897	16234	17349	18781	19696	18923	20221	26439	24360	23573	22995	22661	22442	23225	23679	23877	25012	25865	26373	27171	27650	28489	29382
78	15326	15329	16142	16216	16152	15534	16617	18007	18902	18177	19442	25442	23461	22719	22179	21873	21676	22446	22897	23101	24212	25049	25553	26337	26812	27636
79	14229	14465	14541	15333	15422	15379	14806	15856	17199	18072	17397	18624	24395	22513	21820	21316	21039	20862	21618	22065	22274	23358	24179	24678	25445	25916
80	12878	13341	13641	13733	14502	14604	14583	14055	15067	16361	17210	16583	17771	23301	21522	20876	20411	20161	20005	20744	21187	21400	22455	23257	23747	24497
81	11713	11990	12503	12807	12914	13656	13770	13768	13285	14257	15501	16322	15744	16890	22168	20494	19897	19471	19248	19112	19832	20269	20486	21510	22290	22772
82	10938	10813	11149	11650	11955	12077	12790	12914	12930	12493	13423	14611	15404	14875	15975	20990	19424	18877	18488	18292	18177	18876	19305	19525	20514	21271
83	9747	10000	9967	10299	10785	11089	11222	11905	12038	12070	11677	12563	13693	14454	13975	15026	19766	18311	17813	17461	17291	17197	17873	18292	18513	19465
84	8348	8814	9127	9119	9445	9914	10215	10358	11008	11148	11195	10846	11685	12753	13480	13049	14048	18502	17159	16710	16396	16252	16177	16827	17236	17457
85	7278	7461	7958	8263	8277	8596	9046	9342	9492	10107	10252	10313	10006	10795	11800	12491	12107	13051	17207	15980	15578	15301	15182	15126	15748	16143
86	6022	6417	6653	7117	7411	7446	7755	8182	8472	8627	9204	9353	9426	9160	9896	10835	11487	11149	12035	15887	14775	14420	14180	14083	14045	14635
87	5219	5232	5645	5871	6300	6581	6633	6931	7333	7613	7771	8309	8460	8541	8315	8997	9868	10477	10185	11010	14552	13553	13244	13038	12963	12942
88	4448	4467	4540	4913	5126	5520	5786	5852	6135	6511	6779	6937	7435	7585	7673	7484	8112	8912	9477	9228	9989	13221	12332	12067	11894	11839
89	3623	3748	3821	3896	4229	4429	4786	5035	5112	5378	5726	5979	6134	6591	6739	6830	6675	7249	7976	8497	8287	8985	11910	11127	10903	10759
90+	10978	11404	12069	12681	13253	14023	14853	15877	16980	18007	19135	20427	21778	23096	24649	26133	27507	28560	29981	31860	33961	35604	37651	42041	45186	47709
																										
2014-based projected population by sex and single year of age 150 per cent future EU migration variant Scotland 2014-2039 (continued)													2014-based projected population by sex and single year of age 150 per cent future EU migration variant Scotland 2014-2039 (continued)													
	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
FEMALES																										
All ages	2751216	2758352	2764753	2771079	2777719	2784650	2791851	2799267	2806756	2814301	2821855	2829380	2836786	2844012	2850990	2857616	2863857	2869696	2875082	2880017	2884532	2888611	2892291	2895646	2898709	2901538
0	27384	27249	27124	26974	27145	27426	27685	27915	28110	28267	28392	28498	28554	28569	28557	28515	28451	28391	28336	28298	28261	28222	28203	28221	28262	28319
1	28115	27559	27391	27268	27119	27319	27603	27862	28094	28289	28446	28572	28679	28735	28750	28738	28695	28631	28571	28516	28480	28442	28403	28384	28403	28444
2	28804	28261	27671	27505	27383	27262	27464	27748	28007	28241	28436	28593	28719	28825	28883	28898	28885	28842	28779	28718	28663	28626	28589	28551	28531	28550
3	29823	28932	28357	27769	27603	27506	27387	27590	27874	28133	28367	28563	28721	28846	28952	29010	29025	29011	28969	28906	28845	28790	28753	28716	28678	28658
4	28590	29934	29014	28440	27853	27707	27613	27496	27698	27982	28242	28476	28673	28830	28956	29061	29119	29134	29120	29078	29015	28954	28899	28861	28825	28787
5	29424	28686	30006	29088	28514	27945	27799	27707	27590	27792	28077	28337	28571	28768	28925	29052	29157	29215	29230	29215	29174	29110	29048	28994	28957	28921
6	29276	29507	28746	30066	29151	28590	28023	27877	27786	27670	27870	28156	28417	28650	28848	29006	29132	29238	29295	29309	29296	29254	29190	29128	29075	29038
7	27994	29341	29555	28794	30115	29213	28654	28087	27941	27850	27734	27935	28221	28481	28715	28913	29071	29197	29303	29360	29374	29361	29319	29255	29193	29140
8	27547	28051	29382	29599	28838	30172	29270	28712	28144	27998	27907	27792	27993	28279	28538	28772	28970	29129	29255	29361	29418	29432	29418	29378	29312	29250
9	27107	27599	28087	29420	29640	28890	30224	29322	28764	28196	28050	27959	27844	28045	28331	28590	28824	29022	29181	29307	29415	29470	29485	29471	29431	29365
10	26496	27154	27633	28121	29456	29686	28937	30270	29369	28812	28243	28097	28007	27891	28091	28378	28638	28872	29070	29229	29355	29462	29518	29533	29519	29479
11	26013	26539	27183	27664	28153	29498	29729	28981	30315	29413	28857	28288	28141	28051	27935	28135	28423	28683	28917	29115	29275	29400	29507	29563	29578	29563
12	25884	26050	26563	27208	27691	28190	29536	29767	29018	30353	29451	28895	28326	28179	28090	27974	28174	28462	28722	28956	29154	29315	29439	29546	29602	29618
13	27062	25917	26069	26582	27229	27722	28221	29568	29797	29048	30385	29482	28928	28357	28210	28121	28005	28205	28493	28754	28988	29186	29347	29471	29579	29634
14	27349	27099	25940	26092	26607	27264	27760	28259	29605	29834	29087	30422	29521	28967	28396	28249	28159	28042	28243	28531	28792	29026	29223	29386	29510	29618
15	28545	27398	27134	25975	26128	26655	27313	27810	28310	29656	29886	29139	30474	29573	29019	28447	28299	28209	28092	28292	28581	28842	29076	29273	29437	29561
16	29163	28605	27441	27177	26020	26186	26713	27372	27869	28369	29716	29947	29200	30534	29634	29079	28508	28360	28270	28153	28353	28641	28902	29136	29334	29498
17	30251	29286	28703	27539	27276	26137	26301	26830	27489	27988	28490	29838	30070	29324	30658	29759	29205	28632	28482	28392	28275	28475	28763	29024	29259	29457
18	30968	30767	29748	29156	27989	27768	26625	26782	27313	27979	28484	28992	30344	30588	29843	31172	30285	29723	29145	28988	28897	28779	28978	29269	29532	29770
19	33033	32066	31757	30730	30126	29043	28811	27657	27804	28340	29017	29534	30052	31422	31683	30936	32267	31387	30811	30221	30056	29963	29843	30042	30337	30604
20	34563	34230	33117	32806	31774	31292	30197	29957	28791	28932	29475	30162	30688	31215	32606	32876	32122	33462	32579	31992	31391	31223	31127	31004	31206	31502
21	35723	35502	35011	33897	33592	32703	32220	31123	30878	29707	29847	30392	31083	31613	32146	33544	33818	33061	34407	33522	32928	32324	32154	32056	31934	32136
22	38871	36499	36102	35616	34509	34372	33486	33008	31910	31665	30493	30634	31179	31872	32403	32936	34336	34609	33851	35200	34313	33719	33114	32945	32846	32723
23	38606	39302	36738	36362	35888	34956	34834	33956	33487	32393	32156	30987	31136	31679	32369	32895	33423	34819	35082	34323	35676	34782	34192	33593	33429	33331
24	36646	38657	39162	36618	36270	35945	35030	34925	34055	33596	32514	32286	31127	31283	31820	32503	33019	33542	34926	35177	34421	35771	34873	34293	33702	33544
25	35995	36686	38533	39035	36515	36294	35979	35080	34979	34116	33663	32592	32369	31220	31377	31910	32587	33097	33615	34988	35234	34482	35825	34929	34354	33770
26	36648	36115	36680	38524	39028	36612	36404	36094	35199	35102	34243	33794	32728	32509	31363	31522	32054	32727	33234	33748	35117	35361	34610	35950	35053	34484
27	35933	36794	36153	36721	38568	39151	36747	36545	36236	35345	35250	34393	33947	32884	32665	31525	31684	32214	32886	33390	33903	35268	35510	34761	36098	35202
28	35421	36091	36858	36221	36792	38711	39296	36900	36698	36391	35502	35408	34553	34108	33047	32829	31692	31852	32382	33052	33555	34066	35428	35670	34923	36257
29	35683	35563	36152	36921	36288	36922	38843	39429	37036	36833	36528	35640	35548	34694	34250	33189	32972	31838	31998	32527	33198	33699	34209	35570	35812	35065
30	34586	35816	35626	36218	36989	36411	37047	38969	39557	37164	36963	36657	35769	35679	34826	34381	33321	33105	31972	32132	32662	33332	33832	34342	35701	35943
31	35202	34717	35888	35699	36296	37111	36537	37176	39097	39686	37294	37091	36787	35898	35808	34954	34510	33451	33233	32101	32261	32792	33461	33961	34472	35830
32	35934	35321	34786	35958	35773	36408	37224	36654	37292	39214	39803	37411	37208	36904	36014	35925	35069	34627	33567	33350	32216	32376	32908	33577	34077	34590
33	35334	36032	35376	34842	36017	35865	36500	37320	36750	37388	39310	39899	37508	37304	37000	36110	36020	35164	34722	33662	33445	32311	32471	33002	33672	34173
34	34655	35424	36084	35430	34901	36102	35952	36589	37410	36839	37477	39400	39990	37600	37394	37089	36200	36108	35253	34811	33750	33533	32400	32559	33090	33761
35	33126	34755	35490	36154	35503	34998	36199	36053	36690	37512	36941	37579	39502	40095	37706	37496	37192	36303	36210	35355	34912	33850	33632	32500	32657	33188
36	31341	33214	34814	35553	36219	35589	35086	36289	36144	36780	37603	37033	37670	39593	40188	37800	37588	37283	36394	36301	35445	35002	33939	33721	32589	32744
37	30293	31405	33252	34854	35596	36280	35653	35150	36354	36209	36846	37667	37100	37735	39659	40255	37868	37655	37349	36461	36366	35510	35069	34005	33787	32655
38	32403	30344	31431	33280	34884	35644	36328	35705	35200	36404	36260	36896	37717	37152	37786	39709	40306	37920	37708	37400	36513	36418	35563	35122	34057	33840
39	33020	32439	30363	31448	33299	34919	35680	36366	35742	35237	36441	36299	36935	37755	37190	37824	39747	40344	37961	37748	37438	36554	36459	35603	35163	34098
40	33179	33049	32449	30375	31460	33325	34947	35709	36395	35772	35267	36471	36329	36965	37785	37221	37854	39777	40376	37993	37780	37471	36586	36492	35636	35196
41	35381	33211	33064	32465	30394	31488	33355	34979	35741	36427	35806	35301	36506	36364	37000	37819	37257	37889	39812	40412	38032	37818	37508	36624	36529	35675
42	38075	35406	33223	33077	32479	30420	31512	33381	35006	35769	36455	35836	35331	36536	36395	37031	37850	37289	37921	39844	40445	38068	37852	37541	36659	36563
43	39781	38087	35408	33226	33080	32494	30437	31527	33396	35023	35785	36473	35855	35351	36555	36415	37052	37870	37310	37942	39866	40468	38092	37875	37565	36684
44	39213	39784	38082	35406	33225	33088	32505	30449	31538	33408	35035	35798	36485	35870	35367	36569	36432	37066	37887	37329	37959	39882	40486	38112	37893	37585
45	40706	39210	39770	38072	35400	33228	33093	32510	30456	31544	33415	35042	35806	36494	35880	35377	36579	36443	37077	37899	37342	37973	39895	40500	38127	37908
46	41544	40699	39198	39758	38064	35401	33232	33097	32515	30465	31551	33422	35050	35813	36502	35891	35388	36590	36455	37089	37912	37357	37986	39909	40515	38144
47	41388	41521	40673	39175	39734	38050	35392	33225	33091	32510	30462	31547	33417	35046	35809	36499	35891	35388	36590	36456	37091	37913	37360	37988	39910	40518
48	41419	41356	41485	40640	39145	39711	38031	35377	33213	33079	32500	30454	31537	33408	35038	35800	36491	35885	35383	36583	36451	37086	37908	37356	37986	39907
49	42736	41381	41314	41444	40604	39119	39687	38010	35360	33199	33065	32489	30445	31527	33396	35026	35788	36481	35876	35376	36575	36444	37078	37901	37350	37981
50	42569	42685	41332	41267	41399	40568	39087	39654	37983	35336	33179	33046	32470	30430	31510	33378	35008	35771	36465	35862	35364	36562	36433	37066	37889	37341
51	42219	42512	42630	41281	41220	41358	40531	39055	39620	37955	35311	33159	33025	32451	30415	31492	33358	34991	35755	36449	35849	35352	36549	36420	37054	37877
52	40847	42157	42453	42573	41232	41177	41317	40494	39021	39586	37927	35287	33138	33005	32433	30400	31475	33340	34973	35738	36434	35836	35340	36535	36409	37042
53	40041	40766	42075	42376	42498	41168	41113	41256	40438	38969	39533	37880	35246	33101	32968	32399	30369	31444	33306	34939	35706	36402	35807	35311	36504	36381
54	38522	39932	40661	41969	42273	42402	41078	41026	41171	40358	38894	39458	37809	35183	33043	32911	32344	30320	31393	33253	34884	35653	36349	35757	35262	36453
55	38639	38408	39818	40549	41858	42168	42299	40983	40933	41080	40272	38812	39376	37734	35116	32981	32850	32286	30269	31338	33196	34825	35594	36290	35700	35209
56	37488	38514	38291	39699	40432	41745	42056	42191	40883	40834	40983	40180	38725	39288	37654	35045	32915	32784	32223	30213	31281	33135	34761	35530	36226	35640
57	36344	37349	38380	38161	39567	40307	41618	41932	42069	40768	40722	40873	40075	38625	39188	37561	34962	32837	32707	32151	30147	31212	33064	34687	35456	36152
58	35232	36184	37195	38225	38010	39419	40159	41469	41785	41924	40631	40588	40741	39949	38506	39069	37450	34861	32743	32614	32062	30065	31128	32977	34596	35365
59	33918	35057	36017	37026	38056	37848	39256	39996	41305	41623	41764	40480	40439	40595	39808	38375	38936	37326	34747	32638	32510	31962	29973	31033	32878	34495
60	33317	33746	34890	35850	36858	37892	37690	39095	39837	41142	41464	41607	40333	40294	40450	39670	38246	38807	37204	34637	32536	32409	31865	29885	30941	32782
61	32805	33133	33574	34715	35675	36687	37721	37525	38925	39667	40971	41295	41441	40176	40140	40297	39524	38109	38669	37076	34519	32427	32302	31761	29790	30843
62	31633	32598	32938	33382	34520	35483	36494	37528	37337	38732	39475	40775	41103	41251	39997	39963	40123	39357	37949	38509	36926	34383	32301	32176	31639	29678
63	32033	31407	32380	32724	33170	34307	35269	36280	37312	37127	38517	39261	40556	40888	41039	39795	39764	39926	39168	37769	38329	36756	34229	32157	32034	31501
64	31886	31769	31166	32138	32484	32934	34068	35028	36038	37068	36888	38273	39016	40307	40641	40796	39563	39534	39700	38950	37560	38121	36560	34049	31989	31868
65	32839	31587	31492	30900	31869	32219	32670	33802	34760	35768	36793	36620	37998	38742	40027	40365	40522	39301	39276	39445	38702	37325	37884	36337	33842	31798
66	33885	32498	31280	31193	30612	31578	31931	32386	33513	34469	35474	36496	36329	37700	38443	39724	40063	40223	39016	38994	39166	38431	37067	37625	36092	33618
67	36794	33491	32147	30950	30870	30302	31264	31619	32076	33198	34152	35153	36171	36010	37373	38115	39390	39731	39894	38702	38684	38859	38133	36783	37340	35821
68	27792	36319	33094	31774	30598	30528	29973	30929	31287	31747	32862	33813	34808	35820	35666	37021	37761	39030	39372	39540	38362	38349	38527	37811	36477	37032
69	26619	27393	35838	32665	31370	30218	30156	29615	30566	30927	31388	32497	33441	34427	35435	35289	36634	37372	38633	38978	39149	37988	37980	38161	37456	36139
70	26897	26190	26986	35316	32199	30932	29804	29751	29224	30170	30533	30995	32093	33029	34009	35011	34873	36209	36944	38196	38543	38718	37576	37572	37755	37062
71	26363	26414	25755	26546	34754	31696	30457	29355	29311	28800	29739	30105	30565	31654	32584	33557	34552	34422	35748	36480	37723	38071	38250	37127	37129	37315
72	24343	25836	25924	25286	26072	34147	31152	29945	28871	28835	28340	29272	29641	30101	31180	32104	33070	34058	33936	35250	35979	37210	37561	37744	36640	36648
73	22743	23812	25314	25410	24794	25573	33505	30581	29406	28359	28332	27854	28778	29150	29611	30681	31595	32553	33533	33421	34722	35446	36666	37019	37206	36126
74	23112	22198	23284	24763	24867	24273	25046	32827	29975	28833	27817	27799	27339	28255	28628	29088	30148	31054	32003	32974	32872	34160	34878	36087	36441	36632
75	22457	22498	21653	22721	24174	24286	23716	24480	32099	29323	28216	27232	27224	26782	27688	28063	28522	29572	30468	31408	32369	32277	33549	34263	35458	35814
76	21792	21798	21887	21075	22125	23550	23669	23125	23880	31324	28628	27558	26608	26610	26188	27083	27459	27917	28955	29840	30769	31719	31637	32892	33601	34781
77	21038	21080	21142	21240	20462	21492	22888	23014	22496	23241	30499	27888	26857	25942	25954	25552	26436	26812	27269	28292	29166	30084	31022	30950	32186	32889
78	20145	20271	20372	20445	20553	19810	20818	22182	22313	21822	22558	29615	27094	26105	25227	25249	24868	25738	26115	26569	27576	28438	29343	30267	30206	31421
79	19033	19317	19505	19615	19700	19817	19113	20096	21423	21563	21099	21823	28667	26239	25293	24454	24488	24128	24984	25360	25812	26802	27648	28538	29448	29397
80	17699	18150	18493	18690	18811	18908	19033	18368	19325	20613	20760	20326	21035	27649	25321	24421	23623	23668	23331	24171	24547	24994	25963	26794	27667	28561
81	16503	16777	17279	17626	17831	17962	18070	18203	17579	18507	19754	19908	19504	20197	26565	24345	23492	22738	22793	22481	23302	23675	24117	25064	25877	26733
82	16231	15537	15873	16367	16715	16928	17069	17187	17327	16746	17642	18846	19005	18632	19307	25414	23306	22503	21794	21860	21573	22373	22743	23179	24102	24895
83	14848	15162	14596	14931	15415	15763	15983	16134	16260	16409	15871	16731	17888	18051	17712	18367	24195	22206	21455	20793	20869	20606	21384	21750	22179	23074
84	13550	13747	14126	13618	13951	14423	14770	14994	15153	15289	15444	14950	15775	16880	17048	16741	17375	22906	21041	20344	19730	19816	19580	20331	20692	21114
85	12133	12419	12689	13059	12610	12939	13398	13742	13970	14136	14279	14439	13992	14779	15828	16000	15725	16336	21555	19817	19176	18612	18707	18498	19221	19576
86	10618	11000	11348	11615	11976	11585	11908	12352	12691	12921	13093	13242	13406	13005	13751	14741	14917	14675	15260	20153	18546	17962	17449	17551	17369	18061
87	9633	9503	9932	10264	10527	10875	10540	10857	11283	11614	11844	12020	12174	12340	11986	12687	13616	13794	13584	14141	18695	17222	16694	16234	16342	16187
88	8655	8497	8465	8862	9177	9431	9766	9486	9793	10199	10519	10747	10926	11083	11249	10940	11595	12460	12638	12459	12986	17188	15851	15381	14972	15086
89	7204	7518	7459	7444	7809	8105	8351	8670	8443	8738	9122	9429	9652	9831	9989	10154	9890	10496	11293	11470	11322	11816	15658	14458	14046	13687
90+	28564	28513	29234	29807	30304	31072	32023	33103	34366	35313	36447	37830	39364	40958	42558	44140	45706	46869	48449	50573	52623	54309	56246	61428	64963	67704
																										
© Crown Copyright 2016																										
