Sex	Age	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
1	37	29753	29917	32557	33555	34319	34309	34224	33960	35254	36040	36303	37906	38113	38895	41010	40987	39258	39843	39508	39203	38818	37789	37282	36332	35314	34328
1	38	31344	29804	29972	32610	33610	34378	34370	34286	34023	35316	36102	36367	37969	38177	38959	41074	41053	39326	39910	39575	39271	38887	37860	37353	36404	35386
1	39	31368	31360	29827	29997	32633	33635	34403	34398	34313	34052	35343	36130	36396	37995	38207	38988	41100	41083	39359	39941	39608	39305	38922	37897	37390	36443
1	40	32149	31377	31373	29845	30017	32651	33654	34423	34418	34335	34075	35364	36151	36417	38016	38229	39009	41120	41105	39384	39965	39633	39331	38950	37928	37420
1	41	33967	32164	31398	31395	29870	30042	32673	33680	34449	34447	34364	34105	35391	36179	36448	38044	38259	39038	41148	41137	39419	39999	39668	39367	38987	37967
1	42	35725	33959	32166	31401	31399	29878	30050	32680	33687	34457	34457	34374	34116	35402	36190	36460	38055	38272	39051	41160	41152	39436	40016	39687	39388	39007
1	43	36863	35701	33945	32157	31392	31392	29874	30048	32674	33681	34452	34454	34372	34115	35400	36188	36459	38053	38272	39052	41160	41155	39441	40021	39694	39396
1	44	36585	36838	35688	33937	32151	31387	31388	29875	30049	32672	33680	34452	34457	34375	34120	35404	36193	36464	38057	38279	39058	41166	41165	39453	40032	39708
1	45	37998	36542	36804	35659	33913	32130	31367	31370	29862	30035	32654	33664	34437	34444	34363	34109	35392	36182	36453	38046	38269	39048	41156	41158	39449	40026
1	46	38731	37937	36495	36757	35618	33878	32098	31338	31341	29838	30010	32625	33636	34411	34419	34339	34087	35369	36160	36432	38022	38248	39027	41134	41140	39433
1	47	39506	38661	37881	36445	36707	35574	33839	32064	31306	31309	29809	29982	32594	33606	34382	34393	34313	34064	35344	36135	36407	37999	38224	39005	41110	41119
1	48	38983	39420	38592	37817	36385	36648	35522	33791	32022	31265	31269	29774	29948	32555	33568	34345	34357	34279	34032	35310	36102	36376	37967	38192	38975	41078
1	49	40584	38900	39349	38528	37757	36331	36595	35476	33750	31984	31230	31236	29745	29918	32522	33536	34315	34327	34250	34005	35283	36076	36351	37940	38169	38951
1	50	39732	40502	38839	39289	38474	37709	36289	36554	35439	33719	31958	31205	31212	29725	29899	32499	33516	34296	34309	34234	33992	35268	36062	36337	37926	38157
1	51	39875	39649	40433	38781	39231	38423	37663	36250	36516	35406	33691	31934	31182	31190	29708	29882	32478	33499	34280	34294	34222	33981	35256	36050	36327	37915
1	52	39351	39770	39562	40350	38708	39158	38358	37602	36197	36465	35359	33650	31899	31148	31158	29680	29853	32447	33470	34252	34267	34197	33958	35232	36027	36305
