Sex	Age	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
1	37	29753	29780	32269	33110	33695	33498	33243	32767	33839	34392	34386	35695	35599	36084	37793	37115	34620	34382	33100	31992	31223	30075	29494	28484	27413	26399
1	38	31344	29689	29720	32204	33044	33628	33432	33177	32703	33773	34325	34320	35627	35531	36016	37722	37046	34556	34319	33040	31935	31168	30022	29443	28435	27367
1	39	31368	31274	29627	29658	32137	32976	33559	33364	33110	32637	33705	34257	34252	35557	35462	35947	37650	36976	34491	34255	32979	31877	31112	29969	29391	28386
1	40	32149	31295	31206	29563	29594	32068	32905	33487	33293	33040	32569	33635	34186	34182	35485	35391	35875	37576	36904	34424	34189	32917	31817	31054	29914	29338
1	41	33967	32069	31223	31134	29496	29527	31996	32831	33412	33219	32967	32498	33562	34113	34109	35410	35317	35801	37499	36829	34355	34121	32853	31755	30995	29858
1	42	35725	33878	31991	31148	31059	29426	29457	31921	32755	33335	33143	32892	32425	33487	34038	34034	35333	35241	35725	37420	36753	34284	34052	32787	31692	30934
1	43	36863	35627	33792	31910	31070	30982	29354	29385	31844	32676	33256	33065	32815	32350	33410	33961	33958	35255	35164	35648	37340	36675	34212	33982	32720	31628
1	44	36585	36757	35532	33703	31827	30990	30903	29280	29311	31765	32596	33175	32986	32737	32274	33332	33883	33881	35176	35086	35570	37259	36596	34139	33911	32652
1	45	37998	36475	36655	35435	33612	31742	30908	30822	29204	29236	31685	32515	33093	32906	32658	32197	33254	33804	33803	35096	35007	35491	37177	36517	34066	33839
1	46	38731	37879	36369	36550	35335	33519	31655	30824	30740	29127	29160	31604	32433	33010	32825	32578	32120	33175	33725	33725	35016	34928	35412	37095	36437	33993
1	47	39506	38604	37764	36261	36443	35233	33424	31567	30739	30657	29049	29083	31522	32350	32927	32744	32498	32043	33096	33646	33647	34936	34849	35333	37013	36358
1	48	38983	39370	38482	37647	36151	36334	35130	33328	31478	30654	30573	28971	29006	31440	32267	32844	32662	32418	31965	33017	33567	33569	34856	34770	35254	36931
1	49	40584	38840	39238	38356	37526	36038	36222	35024	33230	31387	30567	30488	28892	28928	31357	32183	32760	32579	32337	31886	32937	33487	33490	34775	34690	35174
1	50	39732	40425	38701	39101	38225	37401	35921	36107	34915	33128	31293	30477	30400	28810	28847	31271	32096	32673	32494	32254	31805	32855	33404	33408	34691	34608
1	51	39875	39564	40269	38556	38958	38088	37270	35798	35987	34801	33022	31195	30383	30308	28725	28763	31181	32006	32582	32405	32167	31721	32769	33318	33323	34604
1	52	39351	39691	39398	40104	38402	38807	37944	37132	35668	35860	34680	32910	31091	30284	30211	28635	28674	31086	31910	32486	32311	32075	31631	32678	33226	33232
1	53	38243	39152	39508	39221	39929	38239	38646	37790	36985	35530	35724	34551	32790	30980	30178	30107	28538	28579	30984	31807	32383	32210	31976	31535	32580	33127
1	54	37187	38030	38954	39314	39033	39743	38065	38474	37626	36828	35383	35579	34413	32662	30861	30064	29996	28434	28477	30875	31697	32272	32101	31870	31431	32474
1	55	36592	36960	37819	38743	39107	38833	39544	37879	38291	37451	36660	35225	35424	34266	32525	30734	29942	29876	28323	28367	30758	31578	32153	31984	31755	31319
1	56	35552	36347	36735	37595	38520	38887	38620	39333	37681	38096	37264	36481	35057	35258	34108	32378	30598	29811	29748	28203	28249	30632	31450	32025	31858	31631
1	57	34895	35292	36106	36498	37359	38284	38655	38395	39109	37472	37889	37066	36291	34878	35081	33940	32221	30453	29672	29611	28075	28123	30497	31313	31887	31723
1	58	33754	34617	35036	35851	36247	37109	38034	38409	38157	38872	37250	37669	36855	36088	34687	34892	33761	32054	30297	29523	29464	27938	27987	30352	31166	31739
1	59	32194	33459	34342	34766	35582	35982	36844	37769	38148	37904	38619	37013	37434	36630	35872	34483	34690	33569	31875	30130	29363	29306	27791	27841	30196	31008
1	60	31896	31888	33170	34054	34482	35299	35703	36565	37490	37873	37636	38352	36763	37186	36392	35643	34266	34476	33365	31684	29952	29192	29138	27634	27686	30029
1	61	31236	31567	31589	32868	33753	34185	35003	35411	36272	37197	37583	37354	38071	36499	36924	36140	35401	34037	34249	33149	31482	29764	29011	28960	27467	27521
1	62	30105	30885	31245	31277	32552	33437	33874	34692	35104	35964	36888	37278	37057	37774	36220	36647	35873	35144	33794	34008	32919	31267	29564	28818	28770	27289
1	63	30290	29738	30543	30910	30951	32222	33107	33548	34366	34781	35641	36563	36957	36744	37461	35925	36354	35591	34872	33536	33753	32675	31039	29351	28613	28568
1	64	30600	29888	29381	30187	30560	30610	31877	32761	33206	34023	34442	35301	36221	36618	36414	37130	35613	36044	35292	34584	33263	33482	32416	30797	29125	28395
1	65	31190	30156	29495	29006	29813	30192	30252	31513	32396	32845	33661	34083	34941	35859	36259	36063	36779	35282	35714	34974	34277	32972	33193	32140	30538	28883
1	66	31986	30692	29719	29081	28610	29418	29803	29872	31127	32008	32461	33275	33701	34557	35472	35875	35687	36402	34927	35360	34632	33947	32659	32882	31842	30259
1	67	34396	31423	30202	29258	28643	28192	29000	29390	29469	30717	31595	32052	32864	33293	34146	35058	35464	35285	35998	34546	34980	34265	33592	32322	32547	31521
1	68	26017	33728	30869	29685	28772	28180	27749	28556	28952	29040	30280	31155	31613	32420	32852	33702	34610	35018	34849	35560	34132	34566	33865	33205	31955	32182
1	69	24005	25458	33070	30284	29138	28257	27689	27278	28084	28485	28582	29813	30680	31136	31940	32374	33220	34124	34534	34375	35083	33681	34115	33429	32783	31554
1	70	24560	23433	24907	32374	29664	28558	27710	27167	26777	27580	27986	28093	29308	30166	30624	31424	31860	32702	33600	34012	33863	34568	33193	33627	32957	32326
1	71	22961	23911	22870	24325	31638	29008	27943	27129	26612	26243	27043	27453	27567	28768	29621	30080	30876	31314	32150	33042	33455	33317	34018	32672	33105	32452
1	72	20722	22293	23277	22280	23714	30864	28317	27295	26515	26024	25677	26473	26887	27010	28199	29045	29506	30297	30736	31565	32450	32864	32737	33433	32117	32550
1	73	18871	20061	21645	22618	21665	23077	30056	27594	26615	25871	25406	25081	25872	26289	26422	27596	28435	28897	29682	30121	30943	31820	32234	32118	32809	31524
1	74	19059	18213	19422	20973	21934	21026	22413	29213	26839	25904	25196	24758	24455	25240	25659	25801	26959	27790	28252	29030	29469	30282	31150	31564	31459	32144
1	75	18503	18329	17576	18759	20274	21221	20359	21719	28330	26047	25157	24485	24075	23794	24572	24993	25143	26283	27105	27566	28336	28774	29578	30435	30848	30754
1	76	17736	17727	17627	16918	18073	19551	20482	19666	20997	27410	25220	24376	23741	23359	23100	23869	24291	24449	25570	26381	26840	27601	28037	28831	29676	30088
1	77	16146	16923	16985	16906	16242	17367	18804	19718	18949	20248	26454	24360	23562	22965	22610	22374	23132	23554	23720	24819	25618	26075	26825	27259	28041	28873
1	78	15326	15330	16143	16220	16162	15543	16636	18030	18924	18203	19468	25456	23460	22710	22151	21823	21610	22356	22777	22950	24025	24810	25264	26002	26433	27201
1	79	14229	14470	14549	15341	15432	15394	14820	15879	17227	18099	17426	18655	24414	22519	21817	21296	20996	20806	21538	21957	22136	23185	23955	24404	25128	25556
1	80	12878	13348	13654	13749	14517	14621	14603	14074	15096	16395	17243	16619	17808	23328	21536	20882	20400	20128	19960	20676	21092	21276	22297	23050	23493	24202
1	81	11713	11991	12511	12820	12929	13671	13788	13788	13304	14287	15534	16355	15780	16927	22195	20509	19904	19461	19217	19071	19769	20180	20369	21359	22093	22529
1	82	10938	10814	11152	11659	11969	12092	12805	12933	12950	12511	13452	14644	15436	14910	16011	21016	19439	18883	18479	18263	18138	18816	19221	19414	20370	21082
1	83	9747	10002	9971	10305	10796	11106	11240	11922	12060	12092	11698	12594	13728	14488	14011	15063	19793	18327	17820	17455	17266	17162	17818	18215	18411	19330
1	84	8348	8817	9131	9125	9453	9927	10234	10377	11026	11172	11218	10868	11716	12789	13514	13086	14085	18530	17176	16718	16392	16229	16146	16777	17164	17361
1	85	7278	7461	7961	8266	8283	8603	9056	9358	9508	10122	10273	10332	10025	10823	11831	12519	12139	13082	17231	15991	15581	15293	15156	15093	15696	16072
1	86	6022	6415	6651	7117	7411	7448	7757	8187	8481	8637	9213	9367	9437	9172	9917	10857	11506	11172	12056	15900	14774	14412	14161	14049	14004	14577
1	87	5219	5227	5639	5864	6294	6575	6629	6925	7330	7613	7772	8308	8464	8542	8317	9007	9877	10484	10195	11017	14550	13537	13221	13007	12918	12890
1	88	4448	4462	4531	4904	5116	5509	5775	5842	6123	6501	6772	6931	7426	7581	7665	7477	8111	8910	9473	9226	9985	13206	12303	12032	11851	11784
1	89	3623	3745	3814	3885	4219	4417	4773	5022	5099	5363	5713	5969	6125	6578	6730	6818	6664	7242	7970	8488	8280	8975	11888	11091	10861	10711
1	90	3053	2998	3150	3219	3290	3586	3768	4088	4319	4402	4647	4968	5207	5358	5769	5916	6006	5882	6404	7061	7533	7361	7992	10603	9906	9714
1	91	2249	2474	2474	2609	2676	2745	3004	3169	3453	3664	3750	3975	4265	4486	4630	4999	5138	5228	5131	5597	6184	6609	6470	7037	9352	8750
1	92	1866	1780	1998	2005	2122	2185	2251	2474	2622	2870	3060	3146	3349	3608	3809	3945	4271	4401	4489	4415	4827	5344	5723	5614	6117	8143
1	93	1401	1439	1403	1581	1593	1692	1750	1811	2000	2130	2344	2512	2596	2776	3004	3184	3309	3594	3713	3797	3743	4102	4552	4885	4802	5242
1	94	985	1050	1105	1081	1223	1238	1321	1372	1427	1585	1697	1878	2024	2103	2260	2458	2616	2729	2974	3081	3159	3122	3431	3816	4104	4043
1	95	487	716	784	828	813	924	939	1007	1051	1100	1228	1323	1473	1598	1670	1805	1973	2110	2210	2416	2511	2582	2559	2819	3144	3389
1	96	324	343	519	571	605	596	681	695	750	787	828	930	1009	1131	1235	1299	1413	1553	1669	1756	1927	2009	2072	2060	2275	2544
1	97	235	221	242	367	405	431	426	489	502	545	575	609	689	753	850	935	990	1084	1199	1295	1369	1508	1578	1632	1628	1803
1	98	140	155	151	166	252	279	298	296	342	353	386	410	437	498	548	624	692	738	814	906	984	1045	1156	1214	1260	1261
1	99	105	89	102	100	110	168	187	200	200	232	241	266	284	305	350	389	447	500	537	597	669	731	780	867	914	952
1	100	65	64	57	65	64	71	108	121	130	131	153	159	177	191	207	239	268	311	351	380	426	481	529	568	634	671
1	101	34	38	39	35	40	39	44	67	75	81	82	97	101	114	124	135	158	179	210	239	261	295	336	372	402	451
1	102	18	19	22	23	20	23	23	26	40	45	49	50	59	62	71	77	85	101	115	137	157	174	198	228	254	276
1	103	10	9	10	12	13	11	13	13	15	23	26	28	29	34	36	42	46	52	62	71	86	100	112	129	150	168
1	104	4	5	5	5	6	7	6	7	7	8	12	14	15	16	19	20	24	26	30	37	42	52	61	70	81	95
1	105 - 109	2	3	3	3	3	4	5	5	6	6	7	9	11	12	13	16	19	22	25	28	35	42	52	64	76	91
1	110 and over	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	27384	27052	26792	26512	26537	26618	26651	26636	26570	26449	26276	26069	25806	25500	25176	24835	24495	24176	23888	23642	23424	23235	23090	22989	22928	22887
2	1	28115	27366	27036	26776	26497	26522	26603	26637	26622	26556	26435	26263	26056	25794	25488	25164	24824	24484	24165	23877	23632	23414	23225	23080	22980	22919
2	2	28804	28109	27361	27031	26771	26492	26517	26598	26632	26618	26552	26431	26259	26052	25790	25484	25160	24820	24480	24162	23874	23629	23411	23222	23077	22977
2	3	29823	28800	28106	27358	27028	26768	26489	26514	26595	26629	26615	26549	26428	26256	26049	25788	25482	25158	24818	24478	24160	23872	23627	23409	23220	23075
2	4	28590	29820	28797	28103	27356	27026	26766	26487	26512	26593	26627	26613	26547	26426	26254	26047	25786	25480	25156	24816	24476	24158	23870	23626	23408	23219
2	5	29424	28587	29818	28795	28101	27354	27024	26764	26485	26510	26591	26625	26611	26545	26424	26252	26045	25785	25479	25155	24815	24475	24157	23869	23625	23407
2	6	29276	29422	28585	29816	28793	28099	27352	27022	26762	26483	26508	26589	26624	26610	26544	26423	26251	26044	25784	25478	25154	24814	24474	24156	23868	23624
2	7	27994	29274	29420	28583	29814	28791	28097	27350	27020	26761	26482	26507	26588	26623	26609	26543	26422	26250	26043	25783	25477	25153	24813	24473	24155	23867
2	8	27547	27992	29272	29418	28581	29812	28789	28095	27349	27019	26760	26481	26506	26587	26622	26608	26542	26421	26249	26042	25782	25476	25152	24812	24472	24154
2	9	27107	27545	27990	29270	29416	28579	29810	28787	28094	27348	27018	26759	26480	26505	26586	26621	26607	26541	26420	26248	26041	25781	25475	25151	24811	24471
2	10	26496	27105	27543	27988	29268	29414	28577	29808	28786	28093	27347	27017	26758	26479	26504	26585	26620	26606	26540	26419	26247	26040	25780	25474	25150	24810
2	11	26013	26494	27103	27541	27986	29266	29412	28575	29806	28784	28092	27346	27016	26757	26478	26503	26584	26619	26605	26539	26418	26246	26039	25779	25473	25149
2	12	25884	26011	26492	27101	27539	27984	29264	29410	28573	29804	28782	28090	27344	27015	26756	26477	26502	26583	26618	26604	26538	26417	26245	26038	25778	25472
2	13	27062	25882	26009	26490	27099	27537	27982	29262	29408	28571	29802	28780	28088	27342	27013	26754	26475	26500	26581	26616	26602	26537	26416	26244	26037	25777
2	14	27349	27059	25879	26006	26487	27096	27534	27979	29259	29405	28569	29800	28778	28086	27340	27011	26752	26473	26498	26579	26614	26600	26535	26414	26242	26035
2	15	28545	27345	27055	25876	26003	26484	27093	27531	27976	29256	29402	28566	29797	28775	28083	27337	27008	26749	26471	26496	26577	26612	26598	26533	26412	26240
2	16	29163	28540	27340	27051	25872	25999	26480	27089	27527	27972	29252	29398	28562	29793	28771	28080	27334	27005	26746	26468	26493	26574	26609	26595	26530	26409
2	17	30251	29156	28534	27334	27046	25867	25994	26475	27084	27522	27967	29247	29393	28557	29788	28767	28076	27330	27001	26742	26464	26489	26570	26605	26591	26526
2	18	30968	30243	29149	28527	27328	27040	25861	25988	26469	27078	27516	27961	29241	29387	28552	29782	28762	28071	27325	26996	26737	26460	26485	26566	26601	26587
2	19	33033	30959	30235	29141	28520	27321	27033	25855	25982	26463	27072	27510	27955	29235	29381	28546	29776	28756	28066	27320	26991	26732	26455	26480	26561	26596
2	20	34563	33024	30951	30227	29134	28513	27315	27027	25849	25976	26457	27066	27504	27949	29229	29375	28540	29770	28751	28061	27315	26986	26727	26450	26475	26556
2	21	35723	34553	33015	30943	30220	29127	28506	27309	27021	25843	25970	26451	27060	27498	27943	29223	29369	28535	29764	28746	28056	27310	26981	26722	26445	26470
2	22	38871	35713	34544	33006	30935	30212	29120	28499	27303	27015	25837	25964	26445	27054	27492	27937	29217	29363	28529	29758	28741	28051	27305	26976	26717	26440
2	23	38606	38859	35703	34535	32997	30927	30204	29113	28492	27296	27009	25831	25958	26439	27048	27486	27931	29211	29357	28523	29752	28735	28045	27300	26971	26712
2	24	36646	38593	38847	35693	34525	32988	30918	30196	29105	28485	27289	27002	25825	25952	26433	27042	27480	27925	29204	29350	28517	29746	28729	28039	27294	26965
2	25	35995	36633	38580	38835	35682	34514	32978	30909	30187	29097	28477	27281	26995	25818	25945	26426	27035	27473	27918	29197	29343	28510	29739	28722	28032	27288
2	26	36648	35981	36620	38566	38821	35670	34502	32967	30899	30177	29088	28468	27272	26987	25810	25937	26418	27027	27465	27910	29189	29335	28502	29731	28714	28024
2	27	35933	36632	35967	36605	38551	38806	35656	34489	32954	30887	30166	29077	28458	27262	26977	25801	25928	26409	27018	27456	27901	29179	29325	28493	29721	28705
2	28	35421	35915	36615	35951	36588	38534	38789	35640	34474	32940	30874	30153	29065	28446	27250	26966	25790	25917	26398	27007	27445	27890	29168	29314	28482	29710
2	29	35683	35402	35897	36597	35933	36570	38515	38770	35622	34457	32924	30859	30138	29051	28432	27237	26953	25778	25905	26386	26995	27433	27878	29155	29301	28470
2	30	34586	35663	35383	35878	36578	35914	36551	38495	38750	35603	34439	32907	30843	30122	29036	28417	27223	26939	25765	25892	26373	26982	27420	27865	29141	29287
2	31	35202	34566	35643	35363	35858	36558	35894	36531	38473	38728	35583	34420	32889	30826	30106	29020	28402	27208	26925	25751	25878	26359	26968	27406	27851	29127
2	32	35934	35180	34546	35622	35342	35837	36537	35873	36510	38451	38705	35562	34400	32870	30808	30089	29004	28386	27193	26910	25737	25864	26345	26954	27392	27837
2	33	35334	35910	35158	34525	35600	35320	35815	36514	35851	36487	38427	38681	35540	34379	32850	30789	30071	28987	28369	27177	26894	25722	25849	26330	26939	27377
2	34	34655	35309	35886	35135	34502	35576	35296	35791	36490	35827	36463	38401	38655	35517	34356	32829	30769	30052	28969	28351	27160	26877	25706	25833	26314	26923
2	35	33126	34628	35283	35860	35109	34477	35550	35270	35765	36463	35801	36436	38373	38627	35492	34332	32806	30747	30031	28949	28332	27142	26859	25689	25816	26297
2	36	31341	33098	34600	35254	35831	35080	34449	35521	35241	35736	36433	35772	36407	38342	38596	35464	34305	32780	30723	30008	28927	28311	27122	26839	25670	25797
2	37	30293	31311	33068	34569	35222	35799	35048	34418	35489	35209	35704	36400	35740	36375	38308	38562	35433	34275	32752	30697	29983	28903	28288	27100	26817	25649
2	38	32403	30261	31280	33035	34535	35187	35764	35013	34384	35454	35174	35669	36364	35705	36340	38271	38525	35399	34243	32722	30669	29956	28877	28263	27076	26794
2	39	33020	32367	30229	31247	33000	34498	35150	35726	34976	34348	35417	35137	35632	36326	35668	36303	38232	38486	35364	34209	32690	30639	29927	28850	28236	27051
2	40	33179	32980	32330	30195	31212	32963	34459	35110	35686	34937	34310	35378	35098	35593	36287	35630	36264	38191	38446	35327	34174	32657	30608	29897	28822	28208
2	41	35381	33136	32940	32291	30159	31175	32924	34418	35069	35645	34897	34271	35338	35058	35553	36247	35591	36225	38150	38405	35290	34138	32623	30577	29867	28793
2	42	38075	35332	33094	32898	32250	30121	31137	32884	34376	35027	35603	34856	34231	35297	35018	35513	36207	35552	36186	38109	38364	35253	34102	32589	30546	29837
2	43	39781	38019	35284	33049	32854	32207	30082	31097	32842	34333	34983	35559	34813	34190	35255	34977	35472	36165	35512	36145	38067	38322	35215	34065	32554	30514
2	44	39213	39718	37963	35233	33001	32807	32162	30040	31054	32798	34287	34937	35513	34768	34146	35211	34934	35428	36121	35469	36102	38022	38278	35175	34027	32518
2	45	40706	39146	39655	37904	35179	32951	32758	32114	29996	31009	32751	34239	34888	35464	34721	34100	35165	34888	35382	36075	35424	36057	37975	38232	35133	33987
2	46	41544	40630	39079	39588	37841	35121	32898	32706	32063	29949	30962	32702	34188	34837	35413	34671	34052	35116	34840	35334	36027	35377	36010	37926	38183	35089
2	47	41388	41460	40554	39007	39516	37773	35059	32841	32650	32009	29900	30912	32650	34134	34783	35359	34618	34001	35064	34789	35283	35976	35327	35960	37874	38131
2	48	41419	41296	41375	40472	38930	39439	37701	34993	32780	32590	31951	29847	30858	32594	34076	34725	35301	34562	33947	35009	34735	35229	35921	35274	35907	37819
2	49	42736	41318	41203	41283	40384	38847	39356	37623	34922	32714	32526	31889	29790	30800	32534	34014	34662	35238	34501	33888	34949	34676	35170	35862	35217	35849
2	50	42569	42621	41216	41103	41184	40289	38757	39267	37539	34845	32643	32457	31822	29729	30738	32469	33947	34595	35170	34436	33825	34885	34613	35107	35798	35155
2	51	42219	42443	42505	41106	40995	41078	40187	38661	39171	37449	34763	32567	32383	31750	29663	30671	32399	33875	34523	35097	34366	33757	34816	34545	35039	35729
2	52	40847	42083	42317	42381	40988	40880	40964	40078	38558	39068	37352	34675	32485	32303	31673	29592	30599	32324	33797	34445	35019	34290	33684	34741	34472	34966
2	53	40041	40703	41946	42182	42248	40862	40756	40842	39961	38447	38958	37248	34580	32397	32217	31590	29516	30521	32243	33713	34361	34934	34208	33605	34660	34393
2	54	38522	39887	40559	41800	42038	42106	40727	40624	40712	39836	38328	38839	37136	34478	32303	32125	31501	29434	30437	32156	33623	34270	34843	34120	33519	34573
2	55	38639	38361	39733	40405	41644	41884	41954	40583	40483	40572	39702	38201	38712	37016	34368	32202	32026	31405	29346	30347	32062	33526	34172	34745	34025	33427
2	56	37488	38463	38199	39569	40241	41477	41719	41792	40428	40331	40422	39558	38064	38575	36887	34250	32093	31919	31302	29251	30250	31961	33421	34067	34639	33923
2	57	36344	37301	38286	38027	39394	40066	41299	41543	41619	40263	40169	40262	39404	37918	38429	36749	34124	31976	31805	31191	29149	30146	31852	33309	33954	34525
2	58	35232	36147	37115	38099	37844	39208	39880	41110	41356	41435	40087	39996	40092	39240	37762	38273	36602	33989	31852	31683	31073	29040	30035	31736	33189	33833
2	59	33918	35025	35952	36918	37901	37650	39011	39682	40910	41158	41239	39901	39813	39911	39065	37596	38107	36446	33846	31720	31553	30947	28924	29916	31612	33061
2	60	33317	33703	34821	35746	36711	37692	37446	38803	39473	40698	40948	41032	39704	39619	39719	38880	37421	37932	36281	33694	31580	31415	30814	28801	29790	31481
2	61	32805	33089	33491	34607	35530	36493	37472	37231	38584	39254	40475	40727	40814	39496	39415	39517	38685	37236	37747	36106	33534	31432	31270	30673	28671	29657
2	62	31633	32562	32864	33268	34381	35302	36263	37240	37004	38352	39022	40239	40493	40583	39276	39198	39303	38478	37040	37551	35921	33364	31275	31115	30523	28533
2	63	32033	31377	32320	32625	33031	34141	35060	36018	36993	36762	38105	38775	39988	40244	40337	39041	38967	39074	38257	36830	37341	35723	33182	31107	30950	30363
