Sex	Age	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
1	37	29753	29850	32344	33180	33770	33561	33252	32740	33760	34227	34145	35362	35145	35485	37131	36650	34521	34761	34143	33599	33048	31922	31343	30340	29254	28224
1	38	31344	29742	29781	32273	33111	33705	33498	33190	32678	33697	34165	34082	35299	35082	35422	37066	36587	34462	34700	34082	33538	32988	31863	31282	30280	29195
1	39	31368	31303	29653	29694	32184	33024	33620	33413	33106	32595	33613	34080	33998	35213	34997	35337	36978	36502	34379	34616	33999	33456	32905	31781	31201	30200
1	40	32149	31325	31212	29566	29607	32096	32938	33533	33328	33022	32510	33527	33993	33913	35126	34911	35251	36889	36415	34295	34531	33915	33371	32821	31700	31118
1	41	33967	32117	31250	31137	29494	29535	32022	32867	33461	33257	32953	32440	33455	33923	33843	35054	34840	35181	36815	36343	34227	34462	33846	33302	32752	31632
1	42	35725	33916	32031	31165	31053	29414	29456	31939	32786	33380	33178	32873	32361	33375	33844	33764	34974	34760	35101	36732	36263	34150	34383	33767	33224	32675
1	43	36863	35662	33823	31942	31077	30966	29331	29372	31852	32701	33295	33094	32791	32278	33290	33760	33680	34888	34676	35016	36647	36179	34069	34298	33684	33141
1	44	36585	36802	35575	33741	31864	30999	30889	29259	29299	31776	32626	33220	33020	32718	32205	33216	33685	33606	34812	34602	34943	36573	36106	33998	34226	33611
1	45	37998	36508	36699	35478	33647	31773	30910	30802	29175	29215	31689	32539	33134	32935	32634	32122	33130	33601	33521	34727	34518	34858	36485	36021	33916	34143
1	46	38731	37907	36398	36591	35375	33548	31678	30817	30709	29086	29125	31596	32446	33041	32843	32543	32032	33039	33509	33431	34635	34427	34767	36393	35930	33828
1	47	39506	38633	37792	36290	36481	35270	33450	31585	30724	30617	28998	29037	31504	32355	32950	32753	32454	31945	32949	33418	33342	34544	34337	34678	36301	35839
1	48	38983	39393	38507	37672	36175	36366	35161	33348	31486	30628	30521	28907	28944	31407	32260	32856	32659	32361	31854	32854	33325	33250	34448	34243	34583	36204
1	49	40584	38875	39270	38390	37559	36068	36261	35061	33253	31396	30541	30433	28824	28860	31319	32173	32768	32574	32275	31771	32768	33239	33164	34360	34157	34496
1	50	39732	40478	38763	39158	38285	37457	35975	36167	34973	33169	31317	30463	30356	28752	28786	31242	32096	32691	32499	32201	31698	32693	33165	33090	34284	34083
1	51	39875	39627	40361	38657	39052	38186	37363	35888	36080	34890	33092	31243	30390	30284	28684	28718	31169	32026	32621	32430	32133	31631	32624	33096	33021	34214
1	52	39351	39749	39496	40233	38538	38935	38076	37258	35789	35982	34798	33004	31159	30310	30203	28609	28643	31089	31947	32542	32351	32056	31555	32545	33017	32943
1	53	38243	39199	39593	39348	40087	38403	38801	37949	37137	35675	35868	34690	32900	31062	30215	30109	28520	28555	30994	31852	32446	32257	31963	31464	32451	32922
1	54	37187	38077	39028	39428	39190	39932	38259	38658	37814	37006	35551	35745	34573	32789	30957	30113	30007	28424	28458	30891	31749	32342	32155	31862	31365	32348
1	55	36592	36999	37887	38839	39245	39012	39756	38097	38496	37660	36857	35409	35604	34439	32663	30837	29996	29891	28315	28348	30773	31631	32222	32036	31745	31251
1	56	35552	36389	36798	37686	38640	39052	38827	39571	37926	38325	37496	36699	35260	35455	34297	32530	30710	29872	29767	28198	28231	30648	31505	32094	31910	31620
1	57	34895	35345	36182	36597	37487	38443	38861	38642	39387	37754	38154	37332	36543	35111	35306	34156	32397	30584	29749	29645	28081	28115	30523	31379	31966	31783
1	58	33754	34667	35123	35963	36382	37276	38234	38655	38441	39188	37568	37968	37154	36371	34950	35143	33999	32251	30446	29614	29511	27955	27987	30385	31239	31825
1	59	32194	33496	34415	34875	35716	36140	37036	37995	38419	38211	38958	37354	37753	36947	36170	34759	34952	33816	32079	30283	29453	29352	27805	27836	30221	31074
