Sex	Age	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
1	37	386312	390902	418440	434736	433735	428651	429502	426008	437701	436055	427366	440442	437895	445740	452079	434874	421355	418844	401028	398960	395014	383151	378068	366489	355397	346895
1	38	392139	385798	390416	417925	434207	433214	428142	428997	425514	437199	435559	426885	439953	437414	445256	451592	434410	420912	418409	400616	398557	394620	382772	377700	366136	355060
1	39	399506	391573	385279	389897	417374	433641	432655	427596	428456	424982	436659	435026	426368	439426	436896	444734	451067	433910	420434	417939	400171	398121	394194	382364	377301	365755
1	40	405724	398886	391005	384726	389343	416786	433036	432057	427012	427877	424414	436082	434455	425814	438861	436341	444175	450505	433375	419921	417434	399695	397653	393736	381926	376874
1	41	424493	405046	398263	390399	384137	388754	416162	432393	431421	426391	427260	423810	435467	433849	425225	438260	435750	443580	449908	432805	419377	416898	399190	397156	393251	381461
1	42	442516	423732	404367	397603	389758	383514	388130	415501	431714	430750	425736	426609	423172	434819	433210	424604	437627	435127	442954	449278	432206	418804	416336	398657	396634	392739
1	43	454033	441668	422974	403651	396908	389084	382859	387474	414807	431001	430046	425048	425928	422503	434140	432540	423955	436966	434476	442299	448621	431579	418205	415748	398101	396088
1	44	444445	453104	440825	422177	402900	396180	388378	382173	386788	414081	430257	429312	424331	425218	421807	433433	431844	423280	436279	433800	441619	447938	430930	417583	415137	397523
1	45	455317	443475	452184	439943	421343	402116	395420	387642	381458	386074	413327	429484	428550	423588	424482	421086	432702	431124	422583	435568	433101	440916	447234	430260	416942	414506
1	46	455778	454258	442516	451222	439022	420475	401300	394629	386878	380718	385336	412548	428685	427763	422821	423724	420345	431950	430384	421866	434839	432384	440195	446510	429571	416283
1	47	464071	454647	453211	441516	450220	438064	419573	400453	393810	386087	379953	384573	411744	427862	426953	422032	422943	419582	431176	429623	421130	434089	431646	439454	445767	428864
1	48	461610	462841	453529	452120	440474	449178	437068	418637	399575	392962	385270	379162	383785	410914	427012	426117	421217	422140	418796	430380	428840	420371	433317	430887	438691	445001
1	49	465864	460293	461621	452360	450978	439385	448089	436029	417662	398662	392079	384421	378340	382967	410053	426130	425250	420372	421307	417981	429554	428027	419584	432517	430100	437899
1	50	461541	464428	458985	460339	451130	449779	438242	446948	434940	416640	397704	391155	383530	377479	382110	409151	425206	424342	419488	420434	417127	428688	427174	418758	431677	429275
1	51	453132	459996	462994	457601	458983	449830	448510	437033	445740	433788	415558	396690	390175	382586	376568	381202	408193	424227	423379	418550	419507	416220	427768	426268	417881	430784
1	52	444765	451473	458444	461468	456127	457537	448443	447156	435740	444449	432554	414399	395604	389126	381574	375589	380228	407164	423175	422344	417541	418509	415242	426777	425292	416935
1	53	430028	442979	449801	456785	459835	454550	455988	446956	445703	434351	443060	431228	413150	394433	387995	380482	374531	379174	406052	422036	421224	416448	417429	414184	425702	424233
1	54	412989	428131	441176	448013	455009	458085	452858	454324	445357	444140	432858	441565	429798	411804	393169	386772	379302	373387	378033	404848	420802	420008	415262	416256	413034	424534
1	55	403877	410985	426214	439245	446095	453102	456205	451037	452534	443635	442455	431245	439950	428254	410349	391803	385449	378022	372148	376796	403542	419462	418689	413973	414980	411783
1	56	394739	401720	408959	424160	437175	444036	451054	454185	449079	450608	441780	440639	429507	438208	426585	408776	390326	384017	376638	370805	375456	402126	418010	417257	412576	413595
1	57	380158	392423	399543	406793	421962	434957	441831	448859	452016	446978	448537	439787	438686	427637	436331	424787	407080	388732	382473	375144	369355	374008	400594	416439	415707	411063
1	58	366613	377707	390086	397217	404475	419610	432582	439466	446505	449690	444722	446313	437644	436585	425623	434310	422851	405253	387012	380806	373530	367789	372443	398939	414740	414031
1	59	352170	364019	375238	387594	394733	401999	417095	430040	436935	443983	447196	442301	443925	435343	434328	423458	432135	420766	403285	385159	379009	371790	366100	370754	397151	412904
1	60	351859	349445	361415	372612	384939	392086	399359	414411	427327	434231	441287	444528	439711	441369	432878	431908	421134	429801	418527	401169	383167	377075	369918	364281	368935	395224
1	61	347724	348890	346718	358653	369825	382120	389274	396553	411554	424439	431349	438412	441682	436946	438639	430242	429321	418649	427303	416129	398903	381032	375002	367910	362329	366982
1	62	336380	344533	345928	343835	355732	366874	379135	386293	393575	408522	421370	428287	435355	438654	434001	435729	427432	426560	415997	424635	413566	396480	378749	372782	365760	360237
