Sex	Age	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
1	37	29753	29850	32345	33183	33773	33568	33260	32751	33768	34241	34160	35384	35169	35511	37161	36684	34553	34799	34184	33646	33096	31974	31401	30402	29319	28288
1	38	31344	29742	29782	32275	33116	33709	33507	33200	32692	33708	34182	34102	35325	35112	35454	37103	36629	34500	34744	34131	33593	33044	31923	31351	30352	29269
1	39	31368	31303	29654	29696	32187	33031	33625	33425	33119	32611	33627	34101	34023	35244	35033	35376	37024	36552	34425	34668	34055	33520	32971	31850	31279	30282
1	40	32149	31325	31214	29568	29611	32101	32946	33540	33343	33038	32530	33545	34020	33942	35162	34953	35296	36944	36473	34349	34591	33980	33446	32898	31780	31208
1	41	33967	32117	31252	31140	29498	29541	32030	32877	33471	33275	32972	32464	33478	33955	33878	35096	34889	35233	36879	36410	34291	34532	33921	33389	32843	31725
1	42	35725	33916	32033	31169	31057	29420	29464	31951	32799	33394	33200	32896	32390	33402	33882	33805	35022	34816	35162	36806	36340	34225	34464	33855	33323	32778
1	43	36863	35662	33825	31946	31083	30972	29340	29382	31867	32717	33313	33120	32818	32313	33324	33804	33728	34944	34741	35087	36730	36267	34154	34392	33786	33255
1	44	36585	36802	35577	33745	31870	31007	30898	29271	29311	31794	32646	33241	33050	32751	32246	33256	33738	33662	34876	34678	35024	36667	36206	34095	34333	33728
1	45	37998	36508	36701	35482	33653	31783	30921	30814	29190	29230	31711	32563	33160	32970	32672	32169	33179	33661	33586	34800	34604	34950	36593	36136	34026	34264
1	46	38731	37907	36400	36595	35380	33556	31691	30830	30724	29104	29144	31623	32476	33073	32884	32587	32088	33096	33578	33504	34717	34525	34871	36514	36059	33952
1	47	39506	38633	37794	36295	36488	35278	33461	31601	30740	30636	29019	29061	31536	32390	32988	32801	32505	32008	33015	33497	33425	34637	34448	34795	36436	35985
1	48	38983	39393	38510	37677	36183	36376	35173	33363	31506	30648	30545	28932	28973	31445	32301	32901	32713	32420	31926	32931	33414	33343	34554	34367	34716	36354
1	49	40584	38875	39273	38396	37567	36080	36274	35077	33272	31420	30565	30462	28854	28895	31364	32222	32820	32636	32345	31852	32856	33340	33270	34480	34297	34645
1	50	39732	40478	38766	39164	38294	37469	35990	36184	34994	33192	31346	30493	30390	28787	28829	31293	32153	32753	32571	32282	31791	32794	33279	33210	34419	34238
1	51	39875	39627	40364	38663	39062	38199	37379	35906	36101	34916	33120	31278	30426	30324	28726	28768	31228	32092	32692	32513	32226	31737	32739	33225	33158	34366
1	52	39351	39749	39500	40240	38548	38949	38092	37278	35813	36009	34830	33039	31201	30353	30251	28659	28701	31158	32023	32624	32447	32163	31675	32677	33163	33098
1	53	38243	39199	39597	39356	40098	38418	38820	37971	37162	35705	35902	34729	32943	31113	30267	30165	28579	28622	31074	31940	32543	32370	32086	31600	32601	33088
1	54	37187	38077	39033	39436	39202	39948	38279	38683	37842	37038	35589	35787	34621	32841	31017	30175	30073	28494	28537	30985	31852	32457	32286	32003	31520	32519
1	55	36592	36999	37891	38849	39258	39030	39778	38123	38529	37695	36897	35456	35656	34499	32726	30908	30069	29970	28397	28441	30884	31752	32357	32189	31908	31427
1	56	35552	36389	36803	37696	38656	39070	38851	39600	37960	38367	37541	36749	35316	35519	34369	32605	30794	29958	29861	28295	28340	30778	31646	32251	32086	31808
1	57	34895	35345	36187	36608	37502	38465	38886	38674	39425	37797	38206	37388	36603	35180	35384	34241	32485	30683	29851	29753	28198	28243	30673	31543	32148	31986
1	58	33754	34667	35129	35974	36401	37298	38263	38688	38484	39237	37621	38032	37224	36445	35031	35237	34102	32355	30564	29735	29638	28092	28138	30560	31431	32037
1	59	32194	33496	34421	34887	35734	36167	37066	38033	38461	38265	39020	37419	37831	37032	36261	34857	35065	33939	32203	30422	29598	29501	27965	28012	30426	31296
1	60	31896	31922	33231	34157	34630	35479	35918	36819	37787	38220	38030	38787	37201	37615	36826	36063	34670	34880	33764	32038	30268	29448	29354	27828	27876	30279
1	61	31236	31599	31647	32954	33881	34362	35212	35656	36557	37526	37964	37782	38539	36969	37385	36606	35851	34469	34681	33576	31861	30102	29288	29196	27680	27728
1	62	30105	30914	31297	31355	32658	33587	34074	34924	35374	36274	37244	37684	37511	38269	36717	37134	36365	35619	34249	34463	33368	31667	29921	29112	29021	27517
1	63	30290	29762	30587	30978	31046	32346	33277	33769	34619	35074	35973	36943	37386	37222	37980	36446	36864	36106	35369	34012	34227	33144	31458	29724	28921	28834
1	64	30600	29915	29420	30248	30645	30724	32020	32951	33449	34299	34758	35657	36626	37073	36917	37676	36161	36578	35832	35105	33762	33978	32908	31236	29516	28719
1	65	31190	30187	29543	29066	29894	30299	30387	31680	32611	33113	33962	34425	35323	36292	36743	36595	37353	35858	36276	35541	34825	33496	33713	32655	31000	29295
1	66	31986	30712	29759	29136	28677	29507	29918	30016	31305	32234	32739	33587	34055	34951	35919	36372	36234	36991	35516	35934	35212	34506	33193	33413	32368	30729
1	67	34396	31431	30220	29297	28697	28256	29085	29503	29610	30891	31818	32326	33173	33643	34539	35504	35960	35830	36586	35133	35552	34843	34149	32852	33074	32044
1	68	26017	33729	30872	29698	28804	28227	27806	28634	29056	29173	30447	31370	31878	32721	33192	34087	35046	35506	35385	36138	34710	35128	34434	33752	32475	32699
